Paul Ammann; George Mason University; USA
James Andrews; University of Western Ontario; Canada
Erik Arisholm; Simula Research Lab; Norway
Mikhail Auguston; Naval Postgraduate School; USA
Paul Baker; Motorola; UK
Fevzi Belli; University of Paderborn; Germany
Antonia Bertolino; CNR; ISTI; Italy
David W. Binkley; Loyola College in Maryland; USA
Fabrice Bouquet; The Universite de Franche Comte; France
Kai-Yuan Cai; Beijing University of Aeronautics and Astronautics; China
Joao Cangussu; UT Dallas; USA
Ana Cavalli; Institut National des Telecommunications; France
Mei-Hwa Chen; State University of New York; Albany; USA
T. Y. Chen; Swinburne University of Technology; Australia
Byoungju Choi; Ewha Womans University; South Korea
John Clark; University of York; UK
Myra Cohen; University of Nebraska - Lincoln ; USA
Ian Craggs; IBM; UK
Marcio Delamaro; UNIVEM; Brazil
Sebastian Elbaum; University of Nebraska; Lincoln; USA
Christophe Gaston; CEA; France
Marie-Claude Gaudel; University Paris XI; France
Sudipto Ghosh; Colorado State University; USA
Arnaud Gotlieb; INRIA; France
Jens Grabowski; University of Goettingen; Germany
Wolfgang Grieskamp; Microsoft; USA
Roland Groz; LSR-IMAG; France
Neelam Gupta; University of Arizona; USA
Alan Hartman; IBM; Haifa; Israel
Joseph Holman; Microsoft; USA
Bob Horgan; Telcordia; USA
Antti Huima; Conformiq; Finland
Florentin Ipate; University of Pitesti; Romania
Pankaj Jalote; IIT Delhi; India
Thierry Jeron; IRISA / INRIA Rennes; France
Bogdan Korel; Illinois Institute of Technology; USA
Bruno Legeard; LEIROS; France
Yu Lei; UT Arlington; USA
Chao Liu; Yahoo Research; USA
Jose Maldonado; University of Sao Paolo; Brazil
Rajib Mall; Indian Institute of Technology; Kharagpur; India
Wassim Masri; American University of Beirut; Lebanon
John May; University of Bristol; UK
Bruce McMillin; University of Missouri-Rolla; USA
Phil McMinn; University of Sheffield; UK
Atif Memon; University of Maryland; College Park; USA
James Miller; University of Alberta; Canada
Henry Muccini; University of L'Aquila; Italy
Brian Nielsen; Aalborg University; Denmark
Manuel Nunez; Universidad Complutense de Madrid; Spain
Alex Orso; Georgia Tech; USA
Amit Paradkar; IBM; USA
Alexandre Petrenko; CRIM; Canada
Jesse H. Poore; UT Knoxville; USA
Alexander Pretschner; ETH Zurich; Switzerland
Marc Roper; University of Strathclyde; Scotland
Gregg Rothermel; University of Nebraska; Lincoln; USA
Per Runeson; Lund University; Sweden
Ina Schieferdecker; Testing Technologies; Fraunhofer FOKUS and TU-Berlin; Germany
Paul Strooper; University of Queensland; Australia
Paolo Tonella; ITC-irst; Italy
Jan Tretmans; Radboud University Nijmegen; Netherlands
T. H. Tse; University of Hong Kong; Hong Kong
Hasan Ural; University of Ottawa; Canada
Mark Utting; Waikato University; New Zealand
Umit Uyar; The City College of the City University of New York; USA
Margus Veanes; Microsoft; USA
Helene Waeselynck; LAAS-CNRS; France
Elaine Weyuker; AT&T; USA
Laurie Williams; North Carolina State University; USA
Claes Wohlin; Blekinge Institute of Technology; Sweden
Eric Wong; University of Texas; Dallas; USA
Marlon Vieira; Siemens
Tao Xie; North Carolina State University; USA
Christian Zapf; Siemens; Germany
Hong Zhu; Oxford Brookes University; UK
