Silvia Abrahão; Universidad Politecnica de Valencia; Spain
Daniel Amyot; University of Ottawa; Canada
Mohsen Asadi; Simon Fraser University; Canada
Don Batory; The University of Texas at Austin; United States
Nelly Bencomo; Aston University; United Kingdom
Xavier Blanc; Bordeaux University; France
Alessandro Bozzon; Delft University of Technology; Netherlands
Ruth Breu; Universitaet Innsbruck; Austria
Manfred Broy; Fakultät für Informatik Technische Universität München; Germany
Jean-Michel Bruel; University of Toulouse; France
Michel Chaudron; Chalmers & Gothenburg University; Sweden
Marsha Chechik; University of Toronto; Canada
Robert Clariso; Universitat Oberta de Catalunya; Spain
Tony Clark; Middlesex University; United Kingdom
Siobhan Clarke; Trinity College Dublin; Ireland
Peter Clarke; Florida International University; United States
Manuel Clavel; IMDEA Software Institute; Spain
Krzysztof Czarnecki; Universtiy of Waterloo; Canada
Fabiano Dalpiaz; Utrecht University; Netherlands
Gregor Engels; University of Paderborn; Germany
Neil Ernst; Carnegie Mellon University; United States
Alessandro Garcia; Pontifical Catholic University of Rio de Janeiro; Brazil
Geri Georg; Colorado State University; United States
Sebastien Gerard; CEA List; France
Martin Gogolla; University of Bremen; Germany
Jeff Gray; University of Alabama; United States
John Grundy; Swinburne University of Technology; Australia
Giancarlo Guizzardi; Federal University of Espirito Santo; Brazil
Reiko Heckel; Department of Computer Science University of Leicester; United Kingdom
Gerti Kappel; Vienna University of Technology; Austria
Frederic Mallet; Universite Nice Sophia Antipolis; France
Shahar Maoz; Tel Aviv University; Israel
Tom Mens; University of Mons; Belgium
Raffaela Mirandola; Politecnico di Milano; Italy
Henry Muccini; University of l'Aquila; Italy
Shiva Nejati; University of Luxembourg; Luxembourg
Jeffrey Parsons; Memorial University; Canada
Shaukat Ali; Simula Research Laboratory; Norway
Robert Baillargeon; CloudOne; United States
Martin Becker; Fraunhofer IESE; Germany
Francis Bordeleau; Ericsson; Canada
Maged Elaasar; Jet Propulsion Laboratory; United States
Pavel Hruby; CSC; Denmark
Robert Karban; JPL; United States
Cornel Klein; Siemens AG Corporate Research & Technology CT NTF CAR; Germany
Heiko Koziolek; ABB Corporate Research; Germany
Vinay Kulkarni; Tata Consultancy Services; India
Stephen J. Mellor; Independent Consultant; United Kingdom
Pieter Mosterman; MathWorks McGill University; United States
Isabelle Perseil; INSERM; France
Rob Pettit; The Aerospace Corporation; United States
Ketil Stolen; SINTEF; Norway
Stephan Thesing; Airbus Helicopters Deutschland GmbH; Germany
Mario Trapp; Fraunhofer IESE; Germany
Salvador Trujillo; IK4-IKERLAN Research Centre; Spain
Markus Voelter; Independent/Itemis; Germany
