Daniel Amyot; University of Ottawa; Canada
Colin Atkinson; University of Mannheim; Germany
Joanne M. Atlee; University of Waterloo; Canada
Don Batory; UT Austin; USA
Benoit Baudry; INRIA; France
Paulo Borba; Federal University of Pernambuco; Brazil
Ruth Breu; University of Innsbruck; Austria
Lionel Briand; Simula Research Laboratory and University of Oslo; Norway
Jean-Michel Bruel; University of Toulouse; France
Jordi Cabot; INRIA / École des Mines de Nantes; France
Michel Chaudron; Leiden University; The Netherlands
Marsha Chechik; University of Toronto; Canada
Jane Cleland-Huang; DePaul University; USA
Krzysztof Czarnecki; University of Waterloo; Canada
Juergen Dingel; Queens University; Canada
Alexander Egyed; Johannes Kepler University ; Austria
Gregor Engels; University of Paderborn; Germany
Rik Eshuis; Eindhoven University of Technology; The Netherlands
Robert France; Colorado State University; USA
Sébastien Gérard; CEA LIST; France
Holger Giese; Hasso Plattner Institute; University of Potsdam; Germany
Martin Glinz; Universität Zürich; Switzerland
Martin Gogolla; University of Bremen; Germany
Aniruddha Gokhale; Vanderbilt University; USA
Jeff Gray; University of Alabama; USA
John Grundy; Swinburne University of Technology; Australia
Mark Harman; CREST Centre; University College London; UK
Øystein Haugen; SINTEF; Norway
Mats Heimdahl; University of Minnesota; USA
Patrick Heymans; University of Namur; Belgium
John Howse; University of Brighton; UK
Zhenjiang Hu; National Institute of Informatics; Japan
Heinrich Hussmann; Ludwig-Maximilians-Universität München; Germany
Paola Inverardi; University of L'Aquila; Italy
Jan Jürjens; TU Dortmund and Fraunhofer ISST; Germany
Shmuel Katz; Technion - Israel Institute of Technology; Israel
Gerti Kappel; Vienna University of Technology; Austria
Gabor Karsai; Vanderbilt University; USA
Jörg Kienzle; McGill University; Canada
Ingolf Krüger; UCSD; USA
Thomas Kühne; Victoria University of Wellington; New Zealand
Jochen Kuester; IBM Research - Zurich; Switzerland
Michael Lawley; CSIRO; Australia
Timothy C. Lethbridge; University of Ottawa; Canada
Hong MEI; Peking University; China
Tom Mens; Université de Mons; Belgium
Ana Moreira; Universidade Nova de Lisboa; Portugal
Pierre-Alain Muller; Université de Haute-Alsace; France
Richard Paige; University of York; UK
Mauro Pezzè; University of Lugano and University of Milano Bicocca; Switzerland/Italy
Dorina C. Petriu; Carleton University; Canada
Alfonso Pierantonio; University of L'Aquila; Italy
Ivan Porres; Abo Akademi University; Finland
Nicolas Rouquette; NASA JPL; USA
Bernhard Rumpe; RWTH Aachen University; Germany
Andy Schürr; Technische Universität Darmstadt; Germany
Bran Selic; Malina Software Corp.; Canada
Miroslaw Staron; University of Gothenburg and Chalmers; Sweden
Perdita Stevens; University of Edinburgh; UK
Paul Strooper; University of Queensland; Australia
Kevin Sullivan; University of Virginia; USA
Daniel Varro; Budapest University of Technology and Economics; Hungary
Eelco Visser; Delft University of Technology; The Netherlands
Liming Zhu; NICTA; Australia
Steffen Zschaler; King's College; London; UK
