Enrique Alba; University of Málaga; Spain
Giuliano Antoniol; Ecole Polytechnique de Montréal; Canada
Andrea Arcuri; Simula Research Laboratory; Norway
Marcio Barros; Universidade Federal do Estado do Rio de Janeiro; Brazil
Leonardo Bottaci; University of Hull; UK
Lionel Briand; University of Luxembourg; Luxembourg
Francisco Chicano; University of Málaga; Spain
John Clark; University of York; UK
Mel Ó Cinnéide; University College Dublin; Ireland
Myra Cohen; University of Nebraska at Lincoln; USA
Massimiliano Di Penta; University of Sannio; Italy
Robert Feldt; University of Blekinge; Chalmers University of Technology; Sweden
Mark Harman; University College London; UK
Rob Hierons; Brunel University; UK
Colin Johnson; University of Kent; UK
Gregory Kapfhammer; Allegheny College; USA
Yvan Labiche; Carleton University; Canada
Spiros Mancoridis; Drexel University; USA
Phil McMinn; University of Sheffield; UK
Pasqualina Potena; University of Bergamo; Italy
Simon Poulding; University of York; UK
Xiao Qu; ABB Corporate Research; USA
Marek Reformat; University of Alberta; USA
Marc Roper; University of Strathclyde; UK
Guenther Ruhe; University of Calgary; Canada
Paolo Tonella; Fondazione Bruno Kessler - IRST; Italy
Silvia Vergilio; Universidade Federal do Paraná; Brazil
Tanja Vos; Universidad Politecnica de Valencia; Spain
Westley Weimer; University of Virginia; USA
Yuanyaun Zhang; University College London; UK
