2016;Fabio Palomba,Annibale Panichella,Andrea De Lucia,Rocco Oliveto,Andy Zaidman;A textual-based technique for Smell Detection.;1-10;10;Technical Research 1:Code Quality;
2016;Natthawute Sae-Lim,Shinpei Hayashi,Motoshi Saeki;Context-based code smells prioritization for prefactoring.;1-10;10;Technical Research 1:Code Quality;
2016;Felienne Hermans,Efthimia Aivaloglou;Do code smells hamper novice programming? A controlled experiment on Scratch programs.;1-10;10;Technical Research 1:Code Quality;
2016;Simone Scalabrino,Mario Linares Vásquez,Denys Poshyvanyk,Rocco Oliveto;Improving code readability models with textual features.;1-10;10;Technical Research 1:Code Quality;
2016;Huascar Sanchez,Jim Whitehead,Martin Schäf;Multistaging to understand: Distilling the essence of java code examples.;1-10;10;Technical Research 2:Program Comprehension;
2016;Mark Hills;Navigating the WordPress plugin landscape.;1-10;10;Technical Research 2:Program Comprehension;
2016;Vallary Singh,Lori L. Pollock,Will Snipes,Nicholas A. Kraft;A case study of program comprehension effort and technical debt estimations.;1-9;9;Technical Research 2:Program Comprehension;
2016;Yorai Geffen,Shahar Maoz;On method ordering.;1-10;10;Technical Research 2:Program Comprehension;
2016;Fabian Beck,Jan Melcher,Daniel Weiskopf;Identifying modularization patterns by visual comparison of multiple hierarchies.;1-10;10;Technical Research 3:Supporting Software Developers;
2016;Ignacio Fernandez,Alexandre Bergel,Juan Pablo Sandoval Alcocer,Alejandro Infante,Tudor Gîrba;Glyph-based software component identification.;1-10;10;Technical Research 3:Supporting Software Developers;
2016;Roberto Minelli,Andrea Mocci,Romain Robbes,Michele Lanza;Taming the IDE with fine-grained interaction data.;1-10;10;Technical Research 3:Supporting Software Developers;
2016;Yuan Tian,Dinusha Wijedasa,David Lo,Claire Le Goues;Learning to rank for bug report assignee recommendation.;1-10;10;Technical Research 3:Supporting Software Developers;
2016;Simon Kawuma,John Businge,Engineer Bainomugisha;Can we find stable alternatives for unstable Eclipse interfaces?;1-10;10;Technical Research 4:Language Usage;
2016;Mohamed Aymen Saied,Houari A. Sahraoui;A cooperative approach for combining client-based and library-based API usage pattern mining.;1-10;10;Technical Research 4:Language Usage;
2016;Guilherme Avelino,Leonardo Teixeira Passos,André C. Hora,Marco Tulio Valente;A novel approach for estimating Truck Factors.;1-10;10;Technical Research 4:Language Usage;
2016;Sebastian Okon,Stefan Hanenberg;Can we enforce a benefit for dynamically typed languages in comparison to statically typed ones? A controlled experiment.;1-10;10;Technical Research 4:Language Usage;
2016;Fang-Hsiang Su,Jonathan Bell,Gail E. Kaiser,Simha Sethumadhavan;Identifying functionally similar code in complex codebases.;1-10;10;Technical Research 5:Assessing Code;
2016;Mario Linares Vásquez,Andrew Holtzhauer,Denys Poshyvanyk;On automatically detecting similar Android apps.;1-10;10;Technical Research 5:Assessing Code;
2016;Xiao Cheng,Hao Zhong,Yuting Chen,Zhenjiang Hu,Jianjun Zhao;Rule-directed code clone synchronization.;1-10;10;Technical Research 5:Assessing Code;
2016;Simone Romano 0001,Christopher Vendome,Giuseppe Scanniello,Denys Poshyvanyk;Are unreachable methods harmful? Results from a controlled experiment.;1-10;10;Technical Research 5:Assessing Code;
2016;Latifa Guerrouj,Olga Baysal;Investigating the android apps' success: An empirical study.;1-4;4;Short Papers 1:Getting Deep Insight Into Your Software;
