2016;Tarek M. Ahmed,Cor-Paul Bezemer,Tse-Hsun Chen,Ahmed E. Hassan,Weiyi Shang;Studying the effectiveness of application performance management (APM) tools for detecting performance regressions for web applications: an experience report.;1-12;12;What's fast, green, and sounds like a robot?;
2016;María Gómez,Romain Rouvoy,Bram Adams,Lionel Seinturier;Mining test repositories for automatic detection of UI performance regressions in Android apps.;13-24;12;What's fast, green, and sounds like a robot?;
2016;Qi Luo,Denys Poshyvanyk,Mark Grechanik;Mining performance regression inducing code changes in evolving software.;25-36;12;What's fast, green, and sounds like a robot?;
2016;Lingfeng Bao,David Lo,Xin Xia,Xinyu Wang,Cong Tian;How android app developers manage power consumption?: an empirical study by mining power management commits.;37-48;12;What's fast, green, and sounds like a robot?;
2016;Shaiful Alam Chowdhury,Abram Hindle;GreenOracle: estimating software energy consumption with energy measurement corpora.;49-60;12;What's fast, green, and sounds like a robot?;
2016;Patrick Kreutzer,Georg Dotzler,Matthias Ring,Björn M. Eskofier,Michael Philippsen;Automatic clustering of code changes.;61-72;12;Plus ça change ...;
2016;Thomas Rolfsnes,Leon Moonen,Stefano Di Alesio,Razieh Behjati,Dave Binkley;Improving change recommendation using aggregated association rules.;73-84;12;Plus ça change ...;
2016;Nicolas Dintzner,Arie van Deursen,Martin Pinzger;FEVER: extracting feature-oriented changes from commits.;85-96;12;Plus ça change ...;
2016;Fabian Trautsch,Steffen Herbold,Philip Makedonski,Jens Grabowski;Adressing problems with external validity of repository mining studies through a smart data platform.;97-108;12;Tools of the trade;
2016;Daniel Rozenberg,Ivan Beschastnikh,Fabian Kosmale,Valerie Poser,Heiko Becker,Marc Palyart,Gail C. Murphy;Comparing repositories visually with repograms.;109-120;12;Tools of the trade;
2016;Ahmed E. Hassan;Raising MSR researchers: an experience report on teaching a graduate seminar course in mining software repositories (MSR).;121-125;5;Orphans (read:novel!);
2016;Kostadin Damevski,Hui Chen,David C. Shepherd,Lori L. Pollock;Interactive exploration of developer interaction traces using a hidden markov model.;126-136;11;Orphans (read:novel!);
2016;Valerio Cosentino,Javier Luis Cánovas Izquierdo,Jordi Cabot;Findings from GitHub: methods, datasets and limitations.;137-141;5;Orphans (read:novel!);
2016;Jin Guo 0004,Mona Rahimi,Jane Cleland-Huang,Alexander Rasin,Jane Huffman Hayes,Michael Vierhauser;Cold-start software analytics.;142-153;12;Orphans (read:novel!);
2016;Suhas Kabinna,Cor-Paul Bezemer,Weiyi Shang,Ahmed E. Hassan;Logging library migrations: a case study for the apache software foundation projects.;154-164;11;Orphans (read:novel!);
2016;Tse-Hsun Chen,Weiyi Shang,Jinqiu Yang,Ahmed E. Hassan,Michael W. Godfrey,Mohamed N. Nasser,Parminder Flora;An empirical study on the practice of maintaining object-relational mapping code in Java systems.;165-176;12;The devil is in the details (source code mining);
2016;Waqar Ahmad,Christian Kästner,Joshua Sunshine,Jonathan Aldrich;Inter-app communication in Android: developer challenges.;177-188;12;The devil is in the details (source code mining);
2016;Tushar Sharma,Marios Fragkoulis,Diomidis Spinellis;Does your configuration code smell?;189-200;12;The devil is in the details (source code mining);
2016;Md Tajmilur Rahman,Louis-Philippe Querel,Peter C. Rigby,Bram Adams;Feature toggles: practitioner practices and a case study.;201-211;11;The devil is in the details (source code mining);
2016;Demóstenes Sena,Roberta Coelho,Uirá Kulesza,Rodrigo Bonifácio;Understanding the exception handling strategies of Java libraries: an empirical study.;212-222;11;The devil is in the details (source code mining);
2016;Daniel Avery,Hoa Khanh Dam,Bastin Tony Roy Savarimuthu,Aditya K. Ghose;Externalization of software behavior by the mining of norms.;223-234;12;Text mining:norms, feelings, youtube, and crashes;
2016;Cássio Castaldi Araujo Blaz,Karin Becker;Sentiment analysis in tickets for IT support.;235-246;12;Text mining:norms, feelings, youtube, and crashes;
2016;Mika Mäntylä,Bram Adams,Giuseppe Destefanis,Daniel Graziotin,Marco Ortu;Mining valence, arousal, and dominance: possibilities for detecting burnout and productivity?;247-258;12;Text mining:norms, feelings, youtube, and crashes;
2016;Parisa Moslehi,Bram Adams,Juergen Rilling;On mining crowd-based speech documentation.;259-268;10;Text mining:norms, feelings, youtube, and crashes;
2016;Joshua Charles Campbell,Eddie Antonio Santos,Abram Hindle;The unreasonable effectiveness of traditional information retrieval in crash report deduplication.;269-280;12;Text mining:norms, feelings, youtube, and crashes;
2016;C. Albert Thompson,Gail C. Murphy,Marc Palyart,Marko Gasparic;How software developers use work breakdown relationships in issue repositories.;281-285;5;I've got issues ... and debt;
2016;Tezcan Dilshener,Michel Wermelinger,Yijun Yu;Locating bugs without looking back.;286-290;5;I've got issues ... and debt;
2016;Riivo Kikas,Marlon Dumas,Dietmar Pfahl;Using dynamic and contextual features to predict issue lifetime in GitHub projects.;291-302;12;I've got issues ... and debt;
2016;Lucas Layman,Allen P. Nikora,Joshua Meek,Tim Menzies;Topic modeling of NASA space system problem reports: research in practice.;303-314;12;I've got issues ... and debt;
2016;Gabriele Bavota,Barbara Russo;A large-scale empirical study on self-admitted technical debt.;315-326;12;I've got issues ... and debt;
2016;Stephany Bellomo,Robert L. Nord,Ipek Ozkaya,Mary Popeck;Got technical debt?: surfacing elusive technical debt in issue trackers.;327-338;12;I've got issues ... and debt;
2016;Takashi Ishio,Raula Gaikovina Kula,Tetsuya Kanda,Daniel M. Germán,Katsuro Inoue;Software ingredients: detection of third-party component reuse in Java software release.;339-350;12;Yuuuge! mining;
2016;Erik Wittern,Philippe Suter,Shriram Rajagopalan;A look at the dynamics of the JavaScript package ecosystem.;351-361;11;Yuuuge! mining;
2016;Anh Tuan Nguyen,Hoan Anh Nguyen,Tien N. Nguyen;A large-scale study on repetitiveness, containment, and composability of routines in open-source projects.;362-373;12;Yuuuge! mining;
2016;Daniel Alencar da Costa,Shane McIntosh,Uirá Kulesza,Ahmed E. Hassan;The impact of switching to a rapid release cycle on the integration delay of addressed issues: an empirical study of the mozilla firefox project.;374-385;12;Process improvement;
2016;Daniel Izquierdo-Cortazar,Lars Kurth,Jesús M. González-Barahona,Santiago Dueñas,Nelson Sekitoleko;Characterization of the Xen project code review process: an experience report.;386-390;5;Process improvement;
2016;Di Yang,Aftab Hussain,Cristina Videira Lopes;From query to usable code: an analysis of stack overflow code snippets.;391-402;12;This session's gonna overflow;
2016;Muhammad Ahasanuzzaman,Muhammad Asaduzzaman,Chanchal K. Roy,Kevin A. Schneider;Mining duplicate questions in stack overflow.;402-412;11;This session's gonna overflow;
2016;Bowen Xu,Zhenchang Xing,Xin Xia,David Lo,Qingye Wang,Shanping Li;Domain-specific cross-language relevant question retrieval.;413-424;12;This session's gonna overflow;
2016;Bin Lin 0008,Alexander Serebrenik;Recognizing gender of stack overflow users.;425-429;5;This session's gonna overflow;
