2016;Antonio Martini,Lars Pareto,Jan Bosch;A multiple case study on the inter-group interaction speed in large, embedded software companies employing agile.;4-26;23;Volume 28, Number 1, January 2016;
2016;Gregor Polancic,Gregor Jost;The impact of the representatives of three types of process modeling tools on modeler's perceptions and performance.;27-56;30;Volume 28, Number 1, January 2016;
2016;Amid Khatibi Bardsiri,Seyyed Mohsen Hashemi;A differential evolution-based model to estimate the software services development effort.;57-77;21;Volume 28, Number 1, January 2016;
2016;Doaa M. Shawky,Salwa K. Abd-El-Hafiz;Characterizing software development method using metrics.;82-96;15;Volume 28, Number 2, February 2016;
2016;Jooyoung Seo,Jihyun Park,Byoungju Choi;A runtime fault survival method for deployed software during production runs.;97-119;23;Volume 28, Number 2, February 2016;
2016;Paul W. McBurney,Cheng Liu,Collin McMillan;Automated feature discovery via sentence selection and source code summarization.;120-145;26;Volume 28, Number 2, February 2016;
2016;Yu Zhou,Yanxiang Tong,Ruihang Gu,Harald C. Gall;Combining text mining and data mining for bug report classification.;150-176;27;Volume 28, Number 3, March 2016;
2016;Maurizio Leotta,Andrea Stocco,Filippo Ricca,Paolo Tonella;Robula+: an algorithm for generating robust XPath locators for web testing.;177-204;28;Volume 28, Number 3, March 2016;
2016;Juan Manuel Carrillo-de-Gea,Joaquin Nicolas,Jose Luis Fernandez Aleman,Ambrosio Toval,Sofia Ouhbi,Ali Idri;Co-located and distributed natural-language requirements specification: traditional versus reuse-based techniques.;205-227;23;Volume 28, Number 3, March 2016;
2016;LiGuo Huang,He Zhang,Ita Richardson;Guest editors' introduction.;232-235;4;Volume 28, Number 4, April 2016;
2016;Kevin T. Ryan;Software processes for a changing world.;236-240;5;Volume 28, Number 4, April 2016;
2016;Marco Kuhrmann,Daniel Mendez Fernandez,Thomas Ternite;On the use of variability operations in the V-Modell XT software process line.;241-253;13;Volume 28, Number 4, April 2016;
2016;Mushtaq Raza,Joao Pascoal Faria;A model for analyzing performance problems and root causes in the personal software process.;254-271;18;Volume 28, Number 4, April 2016;
2016;Vahid Garousi,Dietmar Pfahl;When to automate software testing? A decision-support approach based on process simulation.;272-285;14;Volume 28, Number 4, April 2016;
2016;Xiao Liu,Dingxian Wang,Dong Yuan,Futian Wang,Yun Yang;Workflow temporal verification for monitoring parallel business processes.;286-302;17;Volume 28, Number 4, April 2016;
2016;Mario Luca Bernardi,Marta Cimitile,Giuseppe A. Di Lucca;Mining static and dynamic crosscutting concerns: a role-based approach.;306-339;34;Volume 28, Number 5, May 2016;
2016;Yixin Bian,Mohammed Aziz Parande,Gunes Koru,Song Zhao;Testing the theory of relative dependency from an evolutionary perspective: higher dependencies concentration in smaller modules over the lifetime of software products.;340-371;32;Volume 28, Number 5, May 2016;
2016;Ismael Edrein Espinosa-Curiel,Josefina Rodriguez-Jacobo,Jose Alberto Fernandez-Zepeda;Understanding SPI in small organizations: a study of Mexican software enterprises.;372-390;19;Volume 28, Number 5, May 2016;
2016;Maryam Razavian,Antony Tang,Rafael Capilla,Patricia Lago;In two minds: how reflections influence software design thinking.;394-426;33;Volume 28, Number 6, June 2016;
2016;Markus Borg;TuneR: a framework for tuning software engineering tools with hands-on instructions in R.;427-459;33;Volume 28, Number 6, June 2016;
2016;Herman Hartmann,Jan Bosch;Towards a multi-criteria decision support method for consumer electronics software ecosystems.;460-482;23;Volume 28, Number 6, June 2016;
