2016;Stefano Sebastio,Michele Amoretti,Alberto Lluch-Lafuente;AVOCLOUDY: a simulator of volunteer clouds.;3-30;28;Volume 46, Number 1, January 2016;
2016;Pieter-Jan Maenhaut,Hendrik Moens,Veerle Ongenae,Filip De Turck;Migrating legacy software to the cloud: approach and verification by means of two medical software use cases.;31-54;24;Volume 46, Number 1, January 2016;
2016;Clement Quinton,Daniel Romero 0002,Laurence Duchien;SALOON: a platform for selecting and configuring cloud environments.;55-78;24;Volume 46, Number 1, January 2016;
2016;Raghavendra Kune,Pramodkumar Konugurthi,Arun Agarwal,C. Raghavendra Rao 0001,Rajkumar Buyya;The anatomy of big data computing.;79-105;27;Volume 46, Number 1, January 2016;
2016;Amin Mohebi,Saeed Reza Aghabozorgi,Ying Wah Teh,Tutut Herawan,Ramin Yahyapour;Iterative big data clustering algorithms: a review.;107-129;23;Volume 46, Number 1, January 2016;
2016;Maurizio Pizzonia,Massimo Rimondini;Netkit: network emulation for education.;133-165;33;Volume 46, Number 2, February 2016;
2016;Owen Kaser,Daniel Lemire;Compressed bitmap indexes: beyond unions and intersections.;167-198;32;Volume 46, Number 2, February 2016;
2016;Miguel Garcia,Francisco Ortin Soler,Jose Quiroga;Design and implementation of an efficient hybrid dynamic and static typing language.;199-226;28;Volume 46, Number 2, February 2016;
2016;Paolo Ciancarini,Angelo Di Iorio,Carlo Marchetti,Michele Schirinzi,Fabio Vitali;Bridging the gap between tracking and detecting changes in XML.;227-250;24;Volume 46, Number 2, February 2016;
2016;Joao M. P. Cardoso,Jose Gabriel de Figueiredo Coutinho,Tiago Carvalho,Pedro C. Diniz,Zlatko Petrov,Wayne Luk,Fernando M. Goncalves;Performance-driven instrumentation and mapping strategies using the LARA aspect-oriented programming approach.;251-287;37;Volume 46, Number 2, February 2016;
2016;Ting-Chang Huang,Da-Wei Chang;TridentFS: a hybrid file system for non-volatile RAM, flash memory and magnetic disk.;291-318;28;Volume 46, Number 3, March 2016;
2016;Vasile Purdila,Stefan Gheorghe Pentiuc;Single-scan: a fast star-join query processing algorithm.;319-339;21;Volume 46, Number 3, March 2016;
2016;Jie Yin,Chao Ma,Shi-Min Hu;PAST: accurate instrumentation on fully optimized program.;341-360;20;Volume 46, Number 3, March 2016;
2016;Byungho Min,Vijay Varadharajan;A novel malware for subversion of self-protection in anti-virus.;361-379;19;Volume 46, Number 3, March 2016;
2016;Kyungmin Go,Sungwon Kang,Jongmoon Baik,Myungchul Kim;Pairwise testing for systems with data derived from real-valued variable inputs.;381-403;23;Volume 46, Number 3, March 2016;
2016;Ishtiaque Hussain,Christoph Csallner,Mark Grechanik,Qing Xie,Sangmin Park,Kunal Taneja,B. M. Mainul Hossain;RUGRAT: Evaluating program analysis and testing tools and compilers with large generated random benchmark applications.;405-431;27;Volume 46, Number 3, March 2016;
2016;Kimmo Fredriksson,Pekka Kilpelainen;Practically efficient array initialization.;435-467;33;Volume 46, Number 4, April 2016;
2016;Chamonix Terblanche,Pornpit Wongthongtham;Ontology-based employer demand management.;469-492;24;Volume 46, Number 4, April 2016;
2016;Gianpiero Cabodi,Paolo Camurati,Stefano Quer;A graph-labeling approach for efficient cone-of-influence computation in model-checking problems with multiple properties.;493-511;19;Volume 46, Number 4, April 2016;
2016;Gianfranco Lamperti,Michele Scandale,Marina Zanella;Determinization and minimization of finite acyclic automata by incremental techniques.;513-549;37;Volume 46, Number 4, April 2016;
