2016;Stefano Sebastio,Michele Amoretti,Alberto Lluch-Lafuente;AVOCLOUDY: a simulator of volunteer clouds.;http://dx.doi.org/10.1002/spe.2345;3-30;28;Volume 46, Number 1, January 2016;
2016;Pieter-Jan Maenhaut,Hendrik Moens,Veerle Ongenae,Filip De Turck;Migrating legacy software to the cloud: approach and verification by means of two medical software use cases.;http://dx.doi.org/10.1002/spe.2320;31-54;24;Volume 46, Number 1, January 2016;
2016;Clément Quinton,Daniel Romero 0002,Laurence Duchien;SALOON: a platform for selecting and configuring cloud environments.;http://dx.doi.org/10.1002/spe.2311;55-78;24;Volume 46, Number 1, January 2016;
2016;Raghavendra Kune,Pramodkumar Konugurthi,Arun Agarwal,C. Raghavendra Rao 0001,Rajkumar Buyya;The anatomy of big data computing.;http://dx.doi.org/10.1002/spe.2374;79-105;27;Volume 46, Number 1, January 2016;
2016;Amin Mohebi,Saeed Reza Aghabozorgi,Ying Wah Teh,Tutut Herawan,Ramin Yahyapour;Iterative big data clustering algorithms: a review.;http://dx.doi.org/10.1002/spe.2341;107-129;23;Volume 46, Number 1, January 2016;
2016;Maurizio Pizzonia,Massimo Rimondini;Netkit: network emulation for education.;http://dx.doi.org/10.1002/spe.2273;133-165;33;Volume 46, Number 2, February 2016;
2016;Owen Kaser,Daniel Lemire;Compressed bitmap indexes: beyond unions and intersections.;http://dx.doi.org/10.1002/spe.2289;167-198;32;Volume 46, Number 2, February 2016;
2016;Miguel García,Francisco Ortin,Jose Quiroga;Design and implementation of an efficient hybrid dynamic and static typing language.;http://dx.doi.org/10.1002/spe.2291;199-226;28;Volume 46, Number 2, February 2016;
2016;Paolo Ciancarini,Angelo Di Iorio,Carlo Marchetti,Michele Schirinzi,Fabio Vitali;Bridging the gap between tracking and detecting changes in XML.;http://dx.doi.org/10.1002/spe.2305;227-250;24;Volume 46, Number 2, February 2016;
2016;João M. P. Cardoso,José Gabriel F. Coutinho,Tiago Carvalho,Pedro C. Diniz,Zlatko Petrov,Wayne Luk,Fernando M. Gonçalves;Performance-driven instrumentation and mapping strategies using the LARA aspect-oriented programming approach.;http://dx.doi.org/10.1002/spe.2301;251-287;37;Volume 46, Number 2, February 2016;
2016;Ting-Chang Huang,Da-Wei Chang;TridentFS: a hybrid file system for non-volatile RAM, flash memory and magnetic disk.;http://dx.doi.org/10.1002/spe.2299;291-318;28;Volume 46, Number 3, March 2016;
2016;Vasile Purdila,Stefan Gheorghe Pentiuc;Single-scan: a fast star-join query processing algorithm.;http://dx.doi.org/10.1002/spe.2308;319-339;21;Volume 46, Number 3, March 2016;
2016;Jie Yin,Chao Ma,Shi-Min Hu;PAST: accurate instrumentation on fully optimized program.;http://dx.doi.org/10.1002/spe.2313;341-360;20;Volume 46, Number 3, March 2016;
2016;Byungho Min,Vijay Varadharajan;A novel malware for subversion of self-protection in anti-virus.;http://dx.doi.org/10.1002/spe.2317;361-379;19;Volume 46, Number 3, March 2016;
2016;Kyungmin Go,Sungwon Kang,Jongmoon Baik,Myungchul Kim;Pairwise testing for systems with data derived from real-valued variable inputs.;http://dx.doi.org/10.1002/spe.2295;381-403;23;Volume 46, Number 3, March 2016;
2016;Ishtiaque Hussain,Christoph Csallner,Mark Grechanik,Qing Xie,Sangmin Park,Kunal Taneja,B. M. Mainul Hossain;RUGRAT: Evaluating program analysis and testing tools and compilers with large generated random benchmark applications.;http://dx.doi.org/10.1002/spe.2290;405-431;27;Volume 46, Number 3, March 2016;
2016;Kimmo Fredriksson,Pekka Kilpeläinen;Practically efficient array initialization.;http://dx.doi.org/10.1002/spe.2314;435-467;33;Volume 46, Number 4, April 2016;
2016;Chamonix Terblanche,Pornpit Wongthongtham;Ontology-based employer demand management.;http://dx.doi.org/10.1002/spe.2319;469-492;24;Volume 46, Number 4, April 2016;
2016;Gianpiero Cabodi,Paolo Camurati,Stefano Quer;A graph-labeling approach for efficient cone-of-influence computation in model-checking problems with multiple properties.;http://dx.doi.org/10.1002/spe.2321;493-511;19;Volume 46, Number 4, April 2016;
2016;Gianfranco Lamperti,Michele Scandale,Marina Zanella;Determinization and minimization of finite acyclic automata by incremental techniques.;http://dx.doi.org/10.1002/spe.2309;513-549;37;Volume 46, Number 4, April 2016;
2016;Chang-ai Sun,Yan Zhao,Lin Pan,Xiao He,Dave Towey;A transformation-based approach to testing concurrent programs using UML activity diagrams.;http://dx.doi.org/10.1002/spe.2324;551-576;26;Volume 46, Number 4, April 2016;
2016;Hsin-Wen Wei,Tseng-Yi Chen,Tsan-sheng Hsu;BASE: an assistant tool to precisely simulate energy consumption and reliability of energy-efficient storage systems.;http://dx.doi.org/10.1002/spe.2323;581-599;19;Volume 46, Number 5, May 2016;
2016;Fei Liu 0019,Bixin Li,Rupesh Nasre;Efficient online cycle detection technique combining with Steensgaard points-to information.;http://dx.doi.org/10.1002/spe.2329;601-623;23;Volume 46, Number 5, May 2016;
2016;Daniel A. Rodríguez-Silva,Jaime Loureiro-Acuña,Francisco Javier González-Castaño,Cristina López-Bravo;Improving the virtualization of rich applications by combining VNC and streaming protocols at the hypervisor layer.;http://dx.doi.org/10.1002/spe.2328;625-644;20;Volume 46, Number 5, May 2016;
2016;Helen Oliver,Patrick McSharry;A design proto-pattern for continuously evaluated forecasting in IBM;http://dx.doi.org/10.1002/spe.2316;645-684;40;Volume 46, Number 5, May 2016;
2016;Ronald A. Olsson,Todd Williamson;RJ: a Java package providing JR-like concurrent programming.;http://dx.doi.org/10.1002/spe.2330;685-708;24;Volume 46, Number 5, May 2016;
2016;Samy Chambi,Daniel Lemire,Owen Kaser,Robert Godin;Better bitmap performance with Roaring bitmaps.;http://dx.doi.org/10.1002/spe.2325;709-719;11;Volume 46, Number 5, May 2016;
